GEOID,year,pct_depression,pct_poor_mh_days
12099,2019,17.0,14.2
12099,2023,16.5,16.3
12101,2019,20.2,16.6
12101,2023,20.2,18.0
12103,2019,20.2,16.0
12103,2023,20.9,17.7
12105,2019,18.8,16.4
12105,2023,19.8,18.8
12107,2019,23.5,19.7
12107,2023,20.9,21.7
12111,2019,18.1,16.2
12111,2023,18.1,18.4
12113,2019,21.4,16.0
12113,2023,19.8,18.1
12115,2019,19.9,14.7
12115,2023,20.7,17.0
12117,2019,18.3,14.1
12117,2023,16.7,15.7
12119,2019,18.3,14.4
12119,2023,17.0,16.5
12121,2019,20.7,17.8
12121,2023,20.4,19.9
12123,2019,22.3,19.5
12123,2023,20.3,20.8
12127,2019,20.6,16.7
12127,2023,20.4,18.8
12129,2019,19.6,17.0
12129,2023,18.5,18.6
12133,2019,23.7,20.3
12133,2023,21.1,21.0
13005,2019,22.8,20.3
13005,2023,22.7,20.5
13049,2019,20.2,20.0
13049,2023,20.2,19.4
13077,2019,19.9,15.6
13077,2023,19.7,16.8
13083,2019,23.7,18.7
13083,2023,23.8,19.2
13111,2019,22.7,17.7
13111,2023,23.4,19.3
13115,2019,21.7,17.9
13115,2023,22.8,19.3
13127,2019,20.0,16.8
13127,2023,20.5,18.3
13129,2019,21.6,18.4
13129,2023,23.0,19.5
13133,2019,19.5,17.4
13133,2023,19.3,17.0
13143,2019,24.7,19.0
13143,2023,24.4,19.8
13179,2019,18.5,17.1
13179,2023,18.9,18.2
13189,2019,21.0,19.9
13189,2023,21.4,20.0
13195,2019,22.5,18.4
13195,2023,23.1,20.0
13215,2019,19.3,17.3
13215,2023,19.8,19.1
13233,2019,22.4,18.6
13233,2023,22.9,19.8
13241,2019,22.5,18.2
13241,2023,22.6,18.3
13245,2019,19.0,18.0
13245,2023,20.5,19.7
13283,2019,21.7,20.4
13283,2023,22.5,21.8
13285,2019,21.0,18.6
13285,2023,21.1,19.5
13293,2019,22.8,19.5
13293,2023,22.1,20.3
13299,2019,22.1,20.0
13299,2023,22.5,20.8
15001,2019,17.9,15.2
15001,2023,21.7,17.7
15003,2019,13.9,11.7
15003,2023,15.9,15.3
15005,2019,12.7,10.7
15005,2023,14.2,13.7
15007,2019,15.2,13.3
15007,2023,17.9,16.5
15009,2019,15.1,12.8
15009,2023,16.9,16.6
16001,2019,22.9,13.2
16001,2023,25.5,15.8
16003,2019,21.9,15.2
16003,2023,24.0,17.9
16005,2019,24.4,15.0
16005,2023,25.2,17.3
16007,2019,22.6,15.6
16007,2023,23.7,17.7
16009,2019,23.8,17.1
16009,2023,24.2,18.9
16011,2019,21.5,14.9
16011,2023,23.5,17.7
16013,2019,19.8,12.9
16013,2023,20.1,14.7
16015,2019,21.5,14.2
16015,2023,23.7,16.3
16017,2019,22.6,15.7
16017,2023,23.3,16.9
16019,2019,22.6,14.2
16019,2023,25.5,16.8
16021,2019,23.7,16.0
16021,2023,23.6,18.0
16023,2019,23.5,16.2
16023,2023,26.1,19.9
16025,2019,22.5,15.7
16025,2023,23.0,16.7
16027,2019,23.5,14.9
16027,2023,23.3,16.9
16029,2019,23.0,15.1
16029,2023,23.0,17.6
16031,2019,20.7,14.8
16031,2023,22.4,17.1
16033,2019,20.5,15.5
16033,2023,21.7,17.1
16035,2019,21.7,15.6
16035,2023,22.9,17.5
16037,2019,22.9,15.6
16037,2023,23.3,17.3
16039,2019,21.7,15.6
16039,2023,22.8,17.5
16041,2019,22.4,14.9
16041,2023,23.3,17.3
16043,2019,22.6,14.8
16043,2023,22.8,17.1
16045,2019,22.6,15.5
16045,2023,23.4,17.2
16047,2019,20.8,15.0
16047,2023,21.7,17.8
16049,2019,22.4,16.3
16049,2023,23.2,17.5
16051,2019,22.1,13.8
16051,2023,22.6,16.5
16053,2019,21.0,15.0
16053,2023,21.8,17.6
16057,2019,23.1,14.4
16057,2023,23.1,16.6
16059,2019,23.1,15.9
16059,2023,24.6,17.9
16061,2019,23.9,16.8
16061,2023,24.5,18.8
16063,2019,21.0,15.6
16063,2023,22.0,17.3
16065,2019,23.6,16.7
16065,2023,24.2,18.3
16067,2019,20.3,14.7
16067,2023,21.3,17.3
16069,2019,22.3,15.3
16069,2023,25.2,17.8
16071,2019,22.9,15.4
16071,2023,23.4,17.3
16073,2019,21.4,15.9
16073,2023,23.1,18.4
16075,2019,21.2,15.4
16075,2023,23.5,17.8
16077,2019,20.7,14.7
16077,2023,21.8,17.3
16079,2019,25.1,17.8
16079,2023,24.5,19.3
16081,2019,19.2,12.2
16081,2023,21.0,14.7
16083,2019,21.5,14.7
16083,2023,24.2,17.3
16085,2019,21.2,13.9
16085,2023,23.3,16.9
16087,2019,22.0,16.0
16087,2023,23.7,18.5
17151,2019,23.0,16.4
17151,2023,24.1,19.2
19007,2019,17.9,14.8
19007,2023,23.8,19.6
19053,2019,17.1,14.5
19053,2023,22.4,18.6
19095,2019,16.5,13.1
19095,2023,21.5,17.6
19101,2019,15.1,12.3
19101,2023,20.3,16.4
19133,2019,17.6,14.3
19133,2023,22.4,18.7
19135,2019,17.7,14.0
19135,2023,21.8,17.8
20003,2019,21.0,16.5
20003,2023,22.9,19.0
20007,2019,20.4,15.9
20007,2023,22.6,18.2
20015,2019,18.7,14.0
20015,2023,21.8,17.4
20017,2019,19.3,14.7
20017,2023,21.7,17.8
20019,2019,20.9,17.0
20019,2023,23.2,19.7
20023,2019,19.5,14.8
20023,2023,22.9,18.8
20025,2019,19.6,14.1
20025,2023,21.1,16.9
20031,2019,19.9,14.7
20031,2023,22.4,18.1
20033,2019,19.9,14.6
20033,2023,22.8,18.1
20035,2019,19.7,15.2
20035,2023,22.4,18.3
20041,2019,19.8,15.1
20041,2023,22.0,17.8
20045,2019,21.2,14.5
20045,2023,24.0,16.5
20047,2019,18.4,14.6
20047,2023,21.1,17.8
