event_time,year,estimate,se,pvalue,ci_lo,ci_hi,threshold,label,outcome,stars
-3,2012,0.29860885516132285,0.27163659685524266,0.2806818296476025,-0.23379887467495275,0.8310165849975985,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
-2,2013,-0.11378225479278221,0.37316518090468115,0.7626113978270723,-0.8451860093659573,0.6176214997803928,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
0,2015,0.24769303971971415,0.23634861724269415,0.3032954356983884,-0.21555025007596637,0.7109363295153946,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
1,2016,-0.2742051374847313,0.26772018929704977,0.31419825343340063,-0.7989367085069489,0.25052643353748627,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
2,2017,-0.2904045077348467,0.287129257506394,0.32018648809081834,-0.853177852447379,0.27236883697768555,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
3,2018,0.2506735466889917,0.25390377696400973,0.33167268383606796,-0.24697785616046736,0.7483249495384507,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
4,2019,0.2746189403926807,0.2545237606187324,0.28950176757943274,-0.22424763042003476,0.7734855112053962,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
-4,2011,0.22435887254930006,0.42587101758685886,0.6023230568896237,-0.6103483219209432,1.0590660670195433,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
-3,2012,0.4901193609033516,0.3999802250417452,0.2302991869180081,-0.2938418801784689,1.274080601985172,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
-2,2013,0.1276107501757314,0.23085424948453612,0.5846527885406327,-0.32486357881395933,0.5800850791654222,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
0,2015,0.5211310147198747,0.39307043344159076,0.1952566121446248,-0.24928703482564318,1.2915490642653924,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
1,2016,-0.37759586560752456,0.48528327739812754,0.4428161259221779,-1.3287510893078545,0.5735593580928054,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
2,2017,0.09309971484358134,0.4240862498853432,0.8277750170843475,-0.7381093349316913,0.924308764618854,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
3,2018,0.5992276833208738,0.42002978034519406,0.16436437550214436,-0.22403068615570654,1.422486052797454,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
4,2019,0.24697249853995615,0.23329954917957024,0.2985172226373996,-0.21029461785200151,0.7042396149319138,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,
