event_time,year,estimate,se,pvalue,ci_lo,ci_hi,threshold,label,outcome,rucc_group,stars
2,2017,1.3752963456450342,0.9956701570702199,0.1733358727730324,-0.5762171622125967,3.326809853502665,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,
3,2018,1.2505267239506253,0.9880478256906559,0.21150296429961765,-0.6860470144030602,3.1871004623043104,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,
4,2019,0.24094193280032603,0.11304431422138567,0.037995492780514256,0.019375076926410134,0.46250878867424194,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,*
-4,2011,0.17043624227818827,0.22287117653859342,0.44802680944968565,-0.26639126373745486,0.6072637482938315,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
-3,2012,-0.17341947438229116,0.169033318017942,0.30985387506126166,-0.5047247776974575,0.15788582893287517,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
-2,2013,1.0552723798995582,0.981739657951744,0.28757915788402294,-0.8689373496858599,2.9794821094849766,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
0,2015,0.9411120719522974,0.9701880547484967,0.3367004880179999,-0.960456515354756,2.8426806592593508,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
1,2016,1.152646278620922,0.9474757089115301,0.22948930570002773,-0.704406110845677,3.0096986680875206,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
2,2017,1.0766113461991216,0.9546984005310384,0.26483005623935807,-0.7945975188417136,2.9478202112399567,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
3,2018,0.9489851419168344,0.9514687885504949,0.3233779961607517,-0.9158936836421355,2.8138639674758044,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
4,2019,0.15488034242000032,0.15148579910105991,0.3115091230423567,-0.1420318238180771,0.45179250865807774,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_overdose_rate,nonmetro,
-4,2011,0.0583117785265757,0.32915861804437596,0.8607602549283149,-0.5868391128404012,0.7034626698935526,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
-3,2012,0.046341710105507423,0.3434110219332703,0.8936943809704151,-0.6267438928837022,0.7194273130947172,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
-2,2013,-0.02189951431987922,0.30230229186772445,0.9428042281028666,-0.6144120063806191,0.5706129777408606,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
0,2015,-0.016360042668073112,0.32834597804723004,0.9606421522120988,-0.6599181596406439,0.6271980743044977,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
