event_time,estimate,se,pvalue,ci_lo,ci_hi,threshold,outcome
-1,0,NA,NA,NA,NA,T3_verylarge_25k,ihs_suicide_rate
0,0.17255495332706208,0.17047052918649058,0.3114293022953093,-0.16156728387845945,0.5066771905325836,T3_verylarge_25k,ihs_suicide_rate
1,0.14622013958831903,0.21044828216091074,0.48717864338334393,-0.26625849344706604,0.558698772623704,T3_verylarge_25k,ihs_suicide_rate
2,0.21256005193028107,0.31026583386303525,0.49328706544543016,-0.395560982441268,0.8206810863018301,T3_verylarge_25k,ihs_suicide_rate
3,0.4312772789818383,0.4791826146746306,0.3681058957643998,-0.5079206457804376,1.3704752037441144,T3_verylarge_25k,ihs_suicide_rate
4,0.6995324021407556,0.7074040730194313,0.3227255490104165,-0.6869795809773298,2.086044385258841,T3_verylarge_25k,ihs_suicide_rate
-4,0.2054481394554741,0.24859768810205055,0.4085612330682756,-0.281803329224545,0.6926996081354931,T3_verylarge_25k,ihs_overdose_rate
-3,0.2093696249445491,0.18668184441986885,0.2620615634491505,-0.15652679011839385,0.575266040007492,T3_verylarge_25k,ihs_overdose_rate
-2,0.2650385404855372,0.16018532627422052,0.0980108594733611,-0.048924699011935024,0.5790017799830094,T3_verylarge_25k,ihs_overdose_rate
-1,0,NA,NA,NA,NA,T3_verylarge_25k,ihs_overdose_rate
0,0.17445925769720955,0.14271002487420503,0.22152852889487604,-0.1052523910562323,0.4541709064506514,T3_verylarge_25k,ihs_overdose_rate
1,0.20554751308456132,0.21450383080925556,0.337938549665208,-0.21487999530157958,0.6259750214707023,T3_verylarge_25k,ihs_overdose_rate
2,0.2990473341746929,0.30467450644847754,0.32633117951099244,-0.2981146984643231,0.896209366813709,T3_verylarge_25k,ihs_overdose_rate
3,0.6083699099847562,0.5582089506319214,0.27577457980155473,-0.48571963325380985,1.7024594532233221,T3_verylarge_25k,ihs_overdose_rate
4,0.7013067957347064,0.6956894926856638,0.31341872717462826,-0.6622446099291946,2.0648582013986077,T3_verylarge_25k,ihs_overdose_rate
-4,0.04296308835943197,0.13273920479028573,0.746191365588246,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
-3,0.09052354929746531,0.11657736083584072,0.43744760055626236,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
-2,0.1281951884395384,0.12949200114209022,0.322181263228133,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
0,0.08717223320634415,0.12207902866625724,0.4751876375188415,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
1,0.052499271546941534,0.10199007663650791,0.6067285539970235,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
2,-0.016905634525799653,0.1378803920538856,0.9024152481037694,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
3,0.043784304339065494,0.16121943603852978,0.7859434057569931,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
4,0.08323884074117392,0.15535597150709035,0.5921007365370131,NA,NA,T3_verylarge_25k_TWFE,ihs_suicide_rate
-4,0.01356413991186729,0.12472605188036942,0.9133996267863952,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
-3,0.10330477343230221,0.10295382383690614,0.3156636571118228,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
-2,0.19114127224410513,0.11707526901731712,0.10254562300815127,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
0,0.1159483984520085,0.11322388717711553,0.305805498789777,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
1,0.102697619118008,0.11158641370814118,0.35739427372782046,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
2,0.07928551082449772,0.1199487613306133,0.5086156306090261,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
3,0.17679555012355355,0.15784833763697512,0.26269915183694514,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
4,0.14464687857088723,0.14766573325093632,0.32730525433848695,NA,NA,T3_verylarge_25k_TWFE,ihs_overdose_rate
